"id","country_id","code","fc_name","name","sequence","timestamp"
"4734","58","CZ-326","rokycany","Rokycany","86","2016-06-08 00:09:33"
"377","109","IT-RM","roma","Roma","106","2016-06-08 00:09:16"
"2106","174","PH-ROM","romblon","Romblon","82","2016-06-08 00:09:23"
"4246","31","BR-RO","rondônia","Rondônia","22","2016-06-08 00:09:31"
"1235","138","MH-RON","rongelap","Rongelap","22","2016-06-08 00:09:19"
"700","122","LV-080","ropažu novads","Ropažu novads","80","2016-06-08 00:09:17"
"4247","31","BR-RR","roraima","Roraima","23","2016-06-08 00:09:31"
"259","106","IE-RN","roscommon","Roscommon","24","2016-06-08 00:09:15"
"4825","60","DK-025","roskilde","Roskilde","15","2016-06-08 00:09:34"
"1022","131","MK-67","rosoman","Rosoman","52","2016-06-08 00:09:18"
"2407","181","RU-ROS","rostovskaya oblast'","Rostovskaya oblast'","59","2016-06-08 00:09:23"
"3734","234","GB-ROT","rotherham","Rotherham","87","2016-06-08 00:09:29"
"5010","73","FJ-R","rotuma","Rotuma","5","2016-06-08 00:09:35"
"378","109","IT-RO","rovigo","Rovigo","107","2016-06-08 00:09:16"
"1465","148","ME-17","rožaje","Rožaje","17","2016-06-08 00:09:20"
"3603","231","UG-424","rubirizi","Rubirizi","106","2016-06-08 00:09:28"
"701","122","LV-081","rucavas novads","Rucavas novads","81","2016-06-08 00:09:17"
"872","127","LI-06","ruggell","Ruggell","6","2016-06-08 00:09:18"
"702","122","LV-082","rugāju novads","Rugāju novads","82","2016-06-08 00:09:17"
"2448","182","RW-H","ruhengeri","Ruhengeri","17","2016-06-08 00:09:24"
"3604","231","UG-412","rukungiri","Rukungiri","107","2016-06-08 00:09:28"
"3238","219","TZ-20","rukwa","Rukwa","24","2016-06-08 00:09:27"
"1785","16","BS-RC","rum cay","Rum Cay","25","2016-06-08 00:09:21"
"4366","36","BI-RM","rumonge","Rumonge","16","2016-06-08 00:09:31"
"1089","133","MW-RU","rumphi","Rumphi","28","2016-06-08 00:09:18"
"703","122","LV-083","rundāles novads","Rundāles novads","83","2016-06-08 00:09:17"
"4289","34","BG-07","ruse","Ruse","34","2016-06-08 00:09:31"
"4270","34","BG-18","ruse","Ruse","15","2016-06-08 00:09:31"
"4367","36","BI-RT","rutana","Rutana","17","2016-06-08 00:09:31"
"3789","234","GB-RUT","rutland","Rutland","142","2016-06-08 00:09:29"
"3239","219","TZ-21","ruvuma","Ruvuma","25","2016-06-08 00:09:27"
"4368","36","BI-RY","ruyigi","Ruyigi","18","2016-06-08 00:09:31"
"2822","202","SI-108","ruše","Ruše","147","2016-06-08 00:09:25"
"570","117","KP-10","ryanggang","Ryanggang","11","2016-06-08 00:09:16"
"2408","181","RU-RYA","ryazanskaya oblast'","Ryazanskaya oblast'","60","2016-06-08 00:09:23"
"4735","58","CZ-524","rychnov nad kněžnou","Rychnov nad Kněžnou","87","2016-06-08 00:09:33"
"2172","176","PL-RZ","rzeszów","Rzeszów","50","2016-06-08 00:09:23"
"3060","21","BE-WAL","région wallonne","Région Wallonne","3","2016-06-08 00:09:26"
"5189","75","FR-RE","réunion","Réunion","140","2016-06-08 00:09:35"
"3955","237","UY-RN","río negro","Río Negro","12","2016-06-08 00:09:29"
"50","10","AR-R","río negro","Río Negro","16","2016-06-08 00:09:14"
"1757","159","NI-SJ","río san juan","Río San Juan","14","2016-06-08 00:09:21"
"1359","145","MD-RIB","rîbniţa","Rîbniţa","43","2016-06-08 00:09:20"
"1388","145","MD-RIT","rîbnița","Rîbnița","72","2016-06-08 00:09:20"
"1344","145","MD-RI","rîșcani","Rîșcani","28","2016-06-08 00:09:20"
"1389","145","MD-RIS","rîșcani","Rîșcani","73","2016-06-08 00:09:20"
"4412","38","KH-16","rôtânôkiri","Rôtânôkiri","20","2016-06-08 00:09:32"
"736","122","LV-REZ","rēzekne","Rēzekne","116","2016-06-08 00:09:17"
"758","122","LV-RE","rēzeknes apriņķis","Rēzeknes Apriņķis","138","2016-06-08 00:09:17"
"697","122","LV-077","rēzeknes novads","Rēzeknes novads","77","2016-06-08 00:09:17"
"3187","216","SY-RD","rīf dimashq","Rīf Dimashq","13","2016-06-08 00:09:27"
"737","122","LV-RIX","rīga","Rīga","117","2016-06-08 00:09:17"
"759","122","LV-RI","rīgas apriņķis","Rīgas Apriņķis","139","2016-06-08 00:09:17"
"704","122","LV-084","rūjienas novads","Rūjienas novads","84","2016-06-08 00:09:17"
"3306","220","TH-27","sa kaeo","Sa Kaeo","56","2016-06-08 00:09:27"
"4990","69","EE-74","saaremaa","Saaremaa","11","2016-06-08 00:09:35"
"5231","82","DE-SL","saarland","Saarland","12","2016-06-08 00:09:36"
